id ;label;genre;avg_unit_g;;peeled_yield;;tbsp_g;;juice_ml_per_unit;;lgth_g;;tsp_g;;density_g_ml;;notes;;psta_wter;;psta_slt;;psta_wtr_slt;;egg;;egg_s;;egg_m;;egg_l;;whte_pctge;;ylw_pctge;;wght_pdt_s;;wght_pdt_m;;wght_pdt_l;;clr_lgth;;tea;;grn_tp;;grn_tm;;bck_tp;;bck_tm;;olg_tp;;olg_tm;;rbs_tp;;rbs_tm;;is_pdt;;pdt_variety;;pdt_texture;;gratin;;rissolee;;frites;;puree;;vapeur;;four;;potage;;sautees;;roties;;pdt_spcf_wght;
belle_de_fontenay;Belle de Fontenay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;belle_de_fontenay;;Ferme;;2;;2;;;;;;3;;;;;;2;;2;;;
bernadette;Bernadette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;bernadette;;Ferme;;2;;2;;2;;1;;2;;;;;;2;;2;;;
bf15;BF15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;bf15;;Ferme;;3;;2;;2;;1;;3;;;;;;3;;2;;;
charlotte;Charlotte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;charlotte;;Ferme;;2;;3;;;;;;3;;;;;;2;;2;;;
cherie;Chérie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;cherie;;Ferme;;2;;3;;;;;;3;;;;;;3;;2;;;
nicola;Nicola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;nicola;;Ferme;;2;;2;;;;;;2;;;;;;2;;2;;;
pompadour;Pompadour;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;pompadour;;Ferme;;2;;2;;;;;;2;;;;;;2;;2;;;
ratte;Ratte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;ratte;;Ferme;;2;;3;;;;;;3;;;;;;2;;2;;;
roseval;Roseval;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;roseval;;Ferme;;2;;2;;;;;;3;;;;;;2;;2;;;
agata;Agata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;agata;;Fondante;;2;;;;;;2;;;;1;;2;;;;3;;;
apollo;Apollo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;apollo;;Fondante;;2;;;;2;;2;;;;1;;;;;;3;;;
elodie;Elodie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;elodie;;Fondante;;2;;;;;;2;;2;;1;;;;2;;2;;;
monalisa;Monalisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;monalisa;;Fondante;;3;;;;2;;3;;2;;1;;3;;1;;3;;;
osatara;Osatara;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;osatara;;Fondante;;2;;;;;;3;;2;;;;3;;;;3;;;
résy;Résy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;resy;;Fondante;;;;;;;;3;;2;;;;3;;1;;3;;;
rosabelle;Rosabelle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;rosabelle;;Fondante;;2;;;;;;3;;2;;;;3;;1;;3;;;
samba;Samba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;samba;;Fondante;;2;;;;2;;3;;;;3;;3;;1;;3;;;
sirtema;Sirtema;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;sirtema;;Fondante;;2;;;;;;3;;2;;;;3;;1;;3;;;
blue_belle;Blue Belle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;blue_belle;;;;;;;;2;;2;;;;;;2;;;;;;;
